Country,pcode,gis_name,name_alt,name_fr,name_sp,loc_type,address_1,address_2,address_3,address_4,city,ds_code,x,y
Canada,CANp000079,Ottawa,,Ottawa,,UNHCR Country Office,280 Albert Street,,,,Ottawa,CANOT,-8427036.0683,5687802.601499997
Canada,CANp000657,Montreal,,Montréal,,UNHCR Field Unit,,,,,,CANMO,-8191222.091,5700582.7324
Canada,CANp000658,Toronto,,Toronto,,UNHCR Field Unit,,,,,,CANTO,-8840660.0003,5414053.453400001
Switzerland,CHEp000663,Bern (LO),,Bern (BL),,UNHCR Liaison Office,4 Weltpoststrasse,,,,Bern,SWIBE,831898.5780000016,5932130.2238000035
Switzerland,CHEp000332,Geneva (HQ),Geneva,Genève (QG),,UNHCR HeadQuarter,94 Rue Montbrillant,,,,Geneva,SWIGE,683635.0208999999,5815743.929099999
Switzerland,CHEp000664,Geneva (RO - Europe),Geneva,Genève (BR - Europe),,UNHCR Regional Office,94 Rue Montbrillant,,,,Geneva,SWIRB,683635.0208999999,5815743.929099999
Chile,CHLp000721,Santiago*,,Santiago**,,UNHCR Liaison Office,,,,,,CHLSA,-7864443.837099999,-3958522.3929000013
Chile,CHLp000722,Arica,,Arica,,UNHCR Field Unit,,,,,Arica,CHLAR,-7825850.635299999,-2093883.6598999985
Chile,CHLp000723,Antofagasta,,Antofagasta,,UNHCR Field Unit,,,,,,CHLAN,-7836613.369000001,-2710993.293299999
China,CHNp000085,Beijing,,Beijing,,UNHCR Country Office,22314 DPBJG CN1-2-1,,,,Beijing,CHIBE,12963499.348000001,4858105.216499999
Cote d'Ivoire,CIVp000095,Abidjan,,Abidjan,,UNHCR Country Office,Angle Rue Des Jardins-Boulevard Latrille,"Cocody, II Plateaux",,,Abidjan,ICOAB,-444904.1523000002,599513.7655999996
Cote d'Ivoire,CIVp000098,Guiglo,,Guiglo,,UNHCR Sub-Office,P.O. Box 623,,,,Guiglo,ICOGU,-833139.7820000015,729973.4362000003
Cameroon,CMRp003305,Touboro,,Touboro,,UNHCR Field Unit,,,,,Touboro,CMRTO,1708431.168299999,867542.069600001
Cameroon,CMRp003304,Djohong,,Djohong,,UNHCR Field Unit,,,,,,CMRDJ,1635896.3561999984,762791.9217000008
Cameroon,CMRp003306,Buea,,,,UNHCR Field Office,,,,,Buea,CMRBU,1027590.6105999984,462938.7664999999
Cameroon,CMRp003307,Bamenda,,,,UNHCR Sub-Office,,,,,Bamenda,CMRBM,1129894.5934000015,664662.0947000012
Cameroon,CMRp010049,Douala,,Douala,,UNHCR Field Office,,,,,Douala,CMRDO,1080508.6110999994,450939.28929999843
Cameroon,CMRp000633,Meiganga,,Meiganga,,UNHCR Field Office,,,,,,CMRME,1590171.0960999988,727539.4409000017
Cameroon,CMRp000890,Maroua,Maroua,Maroua,,UNHCR Sub-Office,,,,,,CMRMA,1594620.7410000004,1186272.6915999986
Cameroon,CMRp000078,Yaounde,,Yaoundé,,UNHCR Multi-Country Office,Quartier Nlongkak,Rue No 1032,Batiment no 46,,Yaounde,CMRYA,1281460.2181999981,432433.3284999989
Cameroon,CMRp000893,Batouri,Batouri,Batouri,,UNHCR Field Office,,,,,,CMRBA,1599290.0414999984,494009.55970000103
Cameroon,CMRp000672,Kousséri,,Kousséri,,UNHCR Field Unit,,,,,,CMRKO,1673243.2661000006,1354586.5976000018
Cameroon,CMRp000668,Bertoua,,Bertoua,,UNHCR Sub-Office,,,,,,CMRBE,1521575.7089999989,509608.37779999897
Democratic Republic of the Congo,CODp006580,Tshikapa,,,,UNHCR Field Office,,,,,,CODTS,2315084.8176000006,-716522.5405000001
Democratic Republic of the Congo,CODp000554,Libenge,,Libenge,,UNHCR Field Office,Quartier Administrative,,,,Libenge,CODLI,2073861.9646999985,405764.58150000125
Democratic Republic of the Congo,CODp000107,Goma,,Goma,,UNHCR Sub-Office,"27, Avenue du Golf",Katindo Gauche,,,Goma,CODGO,3253817.2863,-187817.77560000122
Democratic Republic of the Congo,CODp000109,Bukavu,,Bukavu,,UNHCR Field Office,"102, Avenue Patrice Emery Lumumba",Ibanda,,,Bukavu,CODBU,3215698.4869999997,-278204.44959999993
Democratic Republic of the Congo,CODp000553,Uvira,,Uvira,,UNHCR Field Unit,,,,,Uvira,CODUV,3216020.9125000015,-379096.7837000005
Democratic Republic of the Congo,CODp000666,Beni,,Beni,,UNHCR Field Office,,,,,Beni,CODBE,3280251.4351999983,55660.451900001615
Democratic Republic of the Congo,CODp000105,Aru,,Aru,,UNHCR Sub-Office,Avenue de l'ONU,,,,Aru,CODAR,3387652.6213999987,322021.18250000104
Democratic Republic of the Congo,CODp000556,Baraka,,Baraka,,UNHCR Field Office,Av. Commercial 33,Baraka Centre,,,Baraka,CODBA,3238383.1728000008,-457376.92880000174
Democratic Republic of the Congo,CODp000587,Bunia,,Bunia,,UNHCR Field Office,UNHCR Bunia,,,,Bunia,CODBN,3367096.6680000015,172372.27109999955
Democratic Republic of the Congo,CODp004149,Bili,Bili,Bili,,UNHCR Field Unit,,,,,,CODBI,2218163.3143999986,508495.33570000157
Democratic Republic of the Congo,CODp000108,Gbadolite,,,,UNHCR Sub-Office,,,,,,CODGB,2338321.5593999997,476795.13589999825
Democratic Republic of the Congo,CODp000112,Kinshasa,,Kinshasa,,UNHCR Country Office,"6729, Avenue de l'Oua Kinshasa 1",Kinshasa 1,,,Kinshasa,CODKI,1700602.1460000016,-481866.0044
Democratic Republic of the Congo,CODp000588,Kalemie,,Kalemie,,UNHCR Sub-Office,"175, avenue industrielle",Quartier industriel,,,Kalemie,CODKL,3251387.8497,-659108.6810000017
Democratic Republic of the Congo,CODp006582,Faradje,,,,UNHCR Field Office,,,,,,CODFA,3308044.5725000016,415886.78599999845
Democratic Republic of the Congo,CODp006584,Yakoma,Yakoma,,,UNHCR Field Office,,,,,,CODYA,2498600.9252000004,457906.9464999996
Democratic Republic of the Congo,CODp006579,Kananga,,,,UNHCR Sub-Office,,,,,,CODKK,2494578.5099,-658102.4235999994
Republic of the Congo,COGp000442,Betou,Bétou,Betou,,UNHCR Field Office,,,,,Bétou,COBBE,2027988.2577,343016.3878000006
Republic of the Congo,COGp000090,Brazzaville,,Brazzaville,,UNHCR Country Office,"6, Rue 18 Mars 1977",Quartier Cathedrale,B. P. 1093,,Brazzaville,COBBR,1700091.881000001,-476064.0714999996
Republic of the Congo,COGp000522,Gamboma,,Gamboma,,UNHCR Field Office,"6, Rue 18 Mars 1977",Quartier Cathedrale,B. P. 1093,,Brazzaville,COBGA,1769084.442499999,-208665.14559999853
